YDL056W	MBP1	YER111C	SWI4	NA
YMR042W	ARG80	YDR421W	ARO80	2.29E-01
YJL110C	GZF3	YDR451C	YHP1	2.29E-01
YJL056C	ZAP1	YDR123C	INO2	2.29E-01
YNL167C	SKO1	YDR463W	STP1	2.29E-01
YPR065W	ROX1	YLR098C	CHA4	2.29E-01
YLR176C	RFX1	YLR098C	CHA4	2.28E-01
YKR034W	DAL80	YKL043W	PHD1	2.28E-01
YLR098C	CHA4	YBR049C	REB1	2.28E-01YBL103C	RTG3	YBL005W	PDR3	2.28E-01
YHR206W	SKN7	YDR043C	NRG1	2.28E-01
YNL216W	RAP1	YKL112W	ABF1	2.27E-01
YPR104C	FHL1	YOL108C	INO4	2.26E-01
YLR131C	ACE2	YEL009C	GCN4	2.26E-01
YKL062W	MSN4	YDL106C	PHO2	2.26E-01
YDR259C	YAP6	YBR049C	REB1	2.26E-01
YJL089W	SIP4	YFL021W	GAT1	2.25E-01
YKR034W	DAL80	YDR463W	STP1	2.25E-01
YNL314W	DAL82	YBR240C	THI2	2.25E-01
YHL020C	OPI1	YBR049C	REB1	2.25E-01
YPL089C	RLM1	YJR060W	CBF1	2.25E-01
YNL167C	SKO1	YER161C	SPT2	2.25E-01
YIL131C	FKH1	YDR421W	ARO80	2.24E-01
YJL056C	ZAP1	YDR043C	NRG1	2.23E-01
YPL089C	RLM1	YGL013C	PDR1	2.23E-01
YNL167C	SKO1	YMR037C	MSN2	2.23E-01
YOR162C	YRR1	YBR182C	SMP1	2.23E-01
YLR098C	CHA4	YBR240C	THI2	2.23E-01
YOR113W	AZF1	YOL108C	INO4	2.22E-01
YMR042W	ARG80	YJL089W	SIP4	2.22E-01
YNL199C	GCR2	YDR310C	SUM1	2.22E-01
YOR028C	CIN5	YMR042W	ARG80	2.22E-01
YKL020C	SPT23	YGL071W	RCS1	2.22E-01
YLR176C	RFX1	YLR131C	ACE2	2.22E-01
YDR259C	YAP6	YDR146C	SWI5	2.21E-01
YDR423C	CAD1	YDR146C	SWI5	2.21E-01
YIR017C	MET28	YFL021W	GAT1	2.21E-01
YLR013W	GAT3	YDL056W	MBP1	2.20E-01
YMR037C	MSN2	YJL056C	ZAP1	2.20E-01
YNL199C	GCR2	YLR098C	CHA4	2.20E-01
YKL015W	PUT3	YJL110C	GZF3	2.20E-01
YOR372C	NDD1	YML027W	YOX1	2.20E-01
YOR344C	TYE7	YKL043W	PHD1	2.20E-01
YOR113W	AZF1	YLR098C	CHA4	2.20E-01
YML027W	YOX1	YJL110C	GZF3	2.20E-01
YNL216W	RAP1	YFL021W	GAT1	2.20E-01
YPR199C	ARR1	YPL202C	AFT2	2.20E-01
YGL035C	MIG1	YER169W	RPH1	2.19E-01
YOR344C	TYE7	YJL110C	GZF3	2.19E-01
YHR178W	STB5	YDR123C	INO2	2.19E-01
YKL020C	SPT23	YDR146C	SWI5	2.19E-01
YML051W	GAL80	YBL005W	PDR3	2.19E-01
YKL020C	SPT23	YBR049C	REB1	2.19E-01
YLR176C	RFX1	YJL110C	GZF3	2.19E-01
YPL089C	RLM1	YJL089W	SIP4	2.19E-01
YIL131C	FKH1	YER161C	SPT2	2.19E-01
YLR176C	RFX1	YHL027W	RIM101	2.18E-01
YML051W	GAL80	YIL131C	FKH1	2.18E-01
YNL103W	MET4	YIR018W	YAP5	2.18E-01
YNL199C	GCR2	YER161C	SPT2	2.18E-01
YLR098C	CHA4	YDL056W	MBP1	2.18E-01YNL068C	FKH2	YIL036W	CST6	2.18E-01
YPL089C	RLM1	YDR216W	ADR1	2.18E-01
YOR372C	NDD1	YDR463W	STP1	2.17E-01
YPL038W	MET31	YNL314W	DAL82	2.17E-01
YJR060W	CBF1	YIR017C	MET28	2.17E-01
YKL032C	IXR1	YGL035C	MIG1	2.17E-01
YLR013W	GAT3	YHR206W	SKN7	2.17E-01
YPL248C	GAL4	YDR216W	ADR1	2.16E-01
YPL089C	RLM1	YDR259C	YAP6	2.16E-01
YDR043C	NRG1	YBR049C	REB1	2.16E-01
YJL110C	GZF3	YIR017C	MET28	2.16E-01
YIL131C	FKH1	YHL020C	OPI1	2.16E-01
YIL036W	CST6	YDR146C	SWI5	2.16E-01
YPR104C	FHL1	YDR146C	SWI5	2.14E-01
YPL075W	GCR1	YLR131C	ACE2	2.14E-01
YNL199C	GCR2	YGL071W	RCS1	2.14E-01
YIL131C	FKH1	YGL035C	MIG1	2.13E-01
YIR017C	MET28	YBR049C	REB1	2.13E-01
YOR113W	AZF1	YDL056W	MBP1	2.13E-01
YML051W	GAL80	YIR018W	YAP5	2.13E-01
YHR084W	STE12	YBL005W	PDR3	2.13E-01
YML051W	GAL80	YDR423C	CAD1	2.13E-01
YJL110C	GZF3	YBR049C	REB1	2.13E-01
YKL043W	PHD1	YBR182C	SMP1	2.13E-01
YPL089C	RLM1	YDR123C	INO2	2.12E-01
YJL110C	GZF3	YBR240C	THI2	2.12E-01
YDR463W	STP1	YBR240C	THI2	2.12E-01
YPL075W	GCR1	YIL131C	FKH1	2.12E-01
YKL112W	ABF1	YKL032C	IXR1	2.12E-01
YKL020C	SPT23	YIR018W	YAP5	2.12E-01
YJL110C	GZF3	YDR423C	CAD1	2.11E-01
YOR113W	AZF1	YEL009C	GCN4	2.11E-01
YGL013C	PDR1	YBR240C	THI2	2.10E-01
YIR018W	YAP5	YIL036W	CST6	2.10E-01
YKL043W	PHD1	YHL009C	YAP3	2.10E-01
YOR113W	AZF1	YNL068C	FKH2	2.10E-01
YMR037C	MSN2	YDR463W	STP1	2.10E-01
YLR131C	ACE2	YLR098C	CHA4	2.10E-01
YPL089C	RLM1	YHL009C	YAP3	2.10E-01
YMR042W	ARG80	YKL043W	PHD1	2.10E-01
YPL089C	RLM1	YNL199C	GCR2	2.10E-01
YLR182W	SWI6	YHL020C	OPI1	2.10E-01
YOL108C	INO4	YDR451C	YHP1	2.09E-01
YDR520C	YDR520C	YDL048C	STP4	2.09E-01
YLR451W	LEU3	YFL021W	GAT1	2.09E-01
YPR104C	FHL1	YHR178W	STB5	2.09E-01
YIR023W	DAL81	YDR146C	SWI5	2.09E-01
YNL103W	MET4	YLR013W	GAT3	2.09E-01
YLR098C	CHA4	YIR023W	DAL81	2.09E-01
YPL089C	RLM1	YLR451W	LEU3	2.08E-01
YOL108C	INO4	YDR423C	CAD1	2.08E-01
YNL314W	DAL82	YIL036W	CST6	2.08E-01YLR256W	HAP1	YIL131C	FKH1	2.08E-01
YNL068C	FKH2	YDL056W	MBP1	2.08E-01
YNL314W	DAL82	YKL015W	PUT3	2.08E-01
YNL314W	DAL82	YNL167C	SKO1	2.08E-01
YMR070W	MOT3	YLR013W	GAT3	2.07E-01
YGL071W	RCS1	YDR043C	NRG1	2.07E-01
YPL089C	RLM1	YBR240C	THI2	2.07E-01
YIL131C	FKH1	YHR084W	STE12	2.07E-01
YNL068C	FKH2	YDR421W	ARO80	2.07E-01
YKL015W	PUT3	YJL089W	SIP4	2.07E-01
YOL108C	INO4	YMR043W	MCM1	2.07E-01
YOR372C	NDD1	YML051W	GAL80	2.07E-01
YDR421W	ARO80	YDR146C	SWI5	2.06E-01
YOR372C	NDD1	YNL103W	MET4	2.06E-01
YMR021C	MAC1	YDR463W	STP1	2.06E-01
YPL248C	GAL4	YDR463W	STP1	2.06E-01
YLR098C	CHA4	YKL038W	RGT1	2.06E-01
YPL089C	RLM1	YHR084W	STE12	2.06E-01
YOR372C	NDD1	YDR146C	SWI5	2.06E-01
YOL108C	INO4	YHL009C	YAP3	2.06E-01
YOR113W	AZF1	YGL073W	HSF1	2.06E-01
YML051W	GAL80	YKL015W	PUT3	2.06E-01
YPL038W	MET31	YNL199C	GCR2	2.06E-01
YDR423C	CAD1	YDR123C	INO2	2.05E-01
YJL089W	SIP4	YDR421W	ARO80	2.05E-01
YKL062W	MSN4	YHR206W	SKN7	2.05E-01
YPR199C	ARR1	YBR240C	THI2	2.05E-01
YLR098C	CHA4	YJL110C	GZF3	2.05E-01
YPR104C	FHL1	YOR372C	NDD1	2.04E-01
YPL038W	MET31	YLR451W	LEU3	2.04E-01
YJL089W	SIP4	YIL131C	FKH1	2.04E-01
YNL167C	SKO1	YLR098C	CHA4	2.04E-01
YLR098C	CHA4	YGL071W	RCS1	2.04E-01
YGL071W	RCS1	YBR049C	REB1	2.03E-01
YMR043W	MCM1	YIL131C	FKH1	2.03E-01
YKL062W	MSN4	YHL027W	RIM101	2.03E-01
YMR037C	MSN2	YIL131C	FKH1	2.03E-01
YOL028C	YAP7	YBR049C	REB1	2.03E-01
YMR070W	MOT3	YLR403W	SFP1	2.03E-01
YER161C	SPT2	YDR259C	YAP6	2.03E-01
YGL013C	PDR1	YDR463W	STP1	2.02E-01
YJL089W	SIP4	YGL035C	MIG1	2.02E-01
YDR146C	SWI5	YBR083W	TEC1	2.02E-01
YHL020C	OPI1	YBL005W	PDR3	2.02E-01
YPR065W	ROX1	YLR131C	ACE2	2.02E-01
YPL089C	RLM1	YDR451C	YHP1	2.02E-01
YMR016C	SOK2	YHR206W	SKN7	2.02E-01
YLR256W	HAP1	YJL089W	SIP4	2.02E-01
YOR372C	NDD1	YBR182C	SMP1	2.01E-01
YMR042W	ARG80	YIR018W	YAP5	2.01E-01
YGL073W	HSF1	YDR451C	YHP1	2.01E-01
YKL112W	ABF1	YIL131C	FKH1	2.01E-01YLR182W	SWI6	YKL112W	ABF1	2.01E-01
YPL038W	MET31	YMR037C	MSN2	2.01E-01
YMR037C	MSN2	YLR182W	SWI6	2.01E-01
YKL020C	SPT23	YIL131C	FKH1	2.01E-01
YNL314W	DAL82	YGL013C	PDR1	2.01E-01
YNL199C	GCR2	YBR049C	REB1	2.01E-01
YML027W	YOX1	YGL162W	SUT1	2.01E-01
YNL068C	FKH2	YKL112W	ABF1	2.00E-01
YPL202C	AFT2	YJL089W	SIP4	2.00E-01
YIR018W	YAP5	YDR123C	INO2	2.00E-01
